"model";"quicksampler_varprob_p";"smarch_varprob_p";"spur_varprob_p";"unigen2_varprob_p"
"10.sk_1_46";0;NA;1;NA
"107.sk_3_90";0;NA;0;NA
"109.sk_4_36";0;NA;1;NA
"110.sk_3_88";0;NA;1;NA
"111.sk_2_36";0;NA;1;NA
"19.sk_3_48";0;NA;1;NA
"27.sk_3_32";0;NA;1;NA
"32.sk_4_38";0;NA;1;NA
"35.sk_3_52";0;NA;1;NA
"53.sk_4_32";0;NA;1;NA
"55.sk_3_46";0;NA;1;NA
"77.sk_3_44";0;NA;1;NA
"84.sk_4_77";0;NA;1;NA
"axtls";0;NA;0.999999999967123;NA
"blasted_case_0_b11_1";0;NA;1;NA
"blasted_case_0_b12_1";0;NA;1;NA
"blasted_case_0_b12_2";0;NA;1;NA
"blasted_case_1_b11_1";0;NA;1;NA
"blasted_case_1_b12_1";0;NA;1;NA
"blasted_case_1_b12_2";0;NA;1;NA
"blasted_case_1_b14_1";0;NA;1;1
"blasted_case_1_b14_2";0;NA;1;1
"blasted_case_1_b14_3";0;NA;1;NA
"blasted_case_2_b12_1";0;NA;1;NA
"blasted_case_2_b12_2";0;NA;1;NA
"blasted_case_2_b14_1";0;NA;1;1
"blasted_case_2_b14_2";0;NA;1;1
"blasted_case_2_b14_3";0;NA;1;NA
"blasted_case_3_b14_1";0;NA;1;1
"blasted_case_3_b14_2";0;NA;1;1
"blasted_case_3_b14_3";0;NA;1;NA
"blasted_case1";0;NA;1;1
"blasted_case10";0;NA;1;NA
"blasted_case100";0;2.65773933971758e-08;1;1
"blasted_case101";0;0.000837344901448933;0.999999999999999;1
"blasted_case102";0.999999112290989;1;0.999999999985722;0.99999996019642
"blasted_case103";1;1;0.999999265930806;0.999999998135687
"blasted_case105";0;NA;1;NA
"blasted_case106";0;NA;1;0
"blasted_case108";0;NA;1;1
"blasted_case109";0;NA;1;1
"blasted_case11";0;NA;1;1
"blasted_case110";0;NA;1;1
"blasted_case111";0;NA;1;NA
"blasted_case112";0;NA;1;1
"blasted_case113";0;NA;1;NA
"blasted_case114";0;NA;1;NA
"blasted_case115";0;NA;1;NA
"blasted_case116";0;NA;1;NA
"blasted_case117";0;NA;1;NA
"blasted_case118";0;NA;1;NA
"blasted_case119";0;NA;1;0
"blasted_case120";0;NA;1;NA
"blasted_case121";0;NA;1;1
"blasted_case122";0;NA;1;NA
"blasted_case123";0;NA;1;0
"blasted_case124";0;NA;1;1
"blasted_case125";0;NA;1;NA
"blasted_case126";0;NA;1;NA
"blasted_case127";1;0.999997825996279;0.999989433408091;0.991252713308907
"blasted_case128";1;0.999997825996279;0.999999998958159;0.992232359213547
"blasted_case130";0;NA;1;NA
"blasted_case131";0;NA;1;NA
"blasted_case132";0;NA;1;1
"blasted_case133";0;NA;1;NA
"blasted_case134";0;3.11972669919669e-14;0.999999999412421;0.999999947271633
"blasted_case135";0;NA;1;1
"blasted_case136";0;NA;1;NA
"blasted_case137";0;0.242373432758827;1;1
"blasted_case14";0;NA;1;NA
"blasted_case144";0;NA;1;NA
"blasted_case145";0;NA;1;NA
"blasted_case146";0;NA;1;NA
