"model";"vars";"clauses";"sample_size";"quicksampler_time";"spur_time";"unigen2_time";"smarch_time"
"10.sk_1_46";1494;2215;10561;9.356;0.89800000000001;NA;NA
"107.sk_3_90";8948;40147;12581;46.906;8.32399999999996;NA;NA
"109.sk_4_36";3565;14012;12071;31.6130000000001;0.342999999999847;NA;NA
"110.sk_3_88";18570;63471;14107;502.067;24.4839999999995;NA;NA
"111.sk_2_36";2348;5479;8684;13.622;0.26600000000002;NA;NA
"19.sk_3_48";6993;23867;12222;130.722000000001;3.51699999999983;NA;NA
"27.sk_3_32";1509;2707;8133;8.31099999999992;0.0779999999999745;NA;NA
"32.sk_4_38";3834;13594;9161;18.0450000000001;0.499000000000024;NA;NA
"35.sk_3_52";4915;10547;10458;25.2019999999998;0.966000000000122;NA;NA
"53.sk_4_32";2586;10747;9638;20.6290000000001;0.0929999999998472;NA;NA
"55.sk_3_46";3128;12145;9893;18.924;1.46599999999989;NA;NA
"77.sk_3_44";14535;27573;10194;109.537;1.37800000000016;NA;NA
"84.sk_4_77";15678;70956;12766;72.4899999999998;12.3159999999998;NA;NA
"axtls";64;96;7198;1.16499999999996;0.108999999999469;NA;NA
"blasted_case_0_b11_1";340;1026;13380;6.74199999999928;109.456;NA;NA
"blasted_case_0_b12_1";427;1385;14499;7.57499999999982;33.3919999999998;NA;NA
"blasted_case_0_b12_2";827;2725;18510;20.232;143.824000000001;NA;NA
"blasted_case_1_b11_1";340;1026;13380;6.05999999999949;103.141;NA;NA
"blasted_case_1_b12_1";427;1385;14499;7.1760000000013;29.634;NA;NA
"blasted_case_1_b12_2";827;2725;18510;17.9529999999995;139.092000000001;NA;NA
"blasted_case_1_b14_1";238;681;11917;4.28099999999904;15.7209999999995;1069.908;NA
"blasted_case_1_b14_2";270;805;12200;4.90999999999985;15.2260000000006;1024.799;NA
"blasted_case_1_b14_3";304;941;12663;4.98500000000058;20.1460000000006;NA;NA
"blasted_case_2_b12_1";427;1385;14499;6.34000000000015;26.9789999999994;NA;NA
"blasted_case_2_b12_2";827;2725;18510;19.0630000000019;119.834000000001;NA;NA
"blasted_case_2_b14_1";238;681;11917;3.96799999999894;13.5470000000005;955.523999999999;NA
"blasted_case_2_b14_2";270;805;12200;4.46000000000095;13.9809999999998;984.536;NA
"blasted_case_2_b14_3";304;941;12663;4.94099999999889;20.2780000000021;NA;NA
"blasted_case_3_b14_1";238;681;11917;4.00900000000183;14.030999999999;927.821;NA
"blasted_case_3_b14_2";270;805;12200;4.45600000000195;14.1500000000015;1033.306;NA
"blasted_case_3_b14_3";304;941;12663;4.98399999999674;22.6179999999986;NA;NA
"blasted_case1";187;681;10561;4.32200000000012;0.532999999999447;13.768;NA
"blasted_case10";328;878;13608;5.16900000000169;334.312000000002;NA;NA
"blasted_case11";105;371;8550;1.56500000000233;0.23700000000099;4.1140000000014;NA
"blasted_case14";247;649;12329;4.36299999999756;184.721000000001;NA;NA
"blasted_case15";296;774;13322;4.82999999999811;926.790000000001;NA;NA
"blasted_case17";77;235;7487;0.573999999996886;0.13799999999901;2.22000000000116;880.234
"blasted_case19";397;1126;14997;8.36899999999878;131.246999999999;NA;NA
"blasted_case2";296;1116;12643;5.77600000000166;3.95200000000114;300.246999999999;NA
"blasted_case20";397;1126;14997;7.16800000000148;68.8350000000028;NA;NA
"blasted_case3";294;1110;12643;5.6239999999998;3.82700000000114;292.147000000001;NA
"blasted_case4";103;316;8380;1.65299999999843;0.764999999999418;3.90100000000166;NA
"blasted_case5";176;518;10689;2.26400000000285;4.15099999999802;NA;NA
"blasted_case6";329;996;13777;4.94900000000052;22.3079999999973;NA;NA
"blasted_case7";116;365;9006;1.49200000000201;0.529999999998836;8.01100000000224;NA
"blasted_case8";160;525;10247;2.97699999999895;2.56500000000233;222.678;NA
"blasted_case9";279;753;12643;4.52999999999884;423.228999999999;NA;NA
"blasted_case100";72;178;7447;1.097;0.411000000000001;49.958;NA
"blasted_case101";72;178;7447;1.345;0.424000000000007;46.835;NA
"blasted_case102";34;92;5395;0.743999999999971;0.0360000000000014;1.125;26.0269999999991
"blasted_case103";32;86;5395;0.676999999999964;0.0550000000000068;1.221;25.808
"blasted_case105";170;407;10535;3.49600000000004;21.117;NA;NA
"blasted_case106";204;509;11347;3.73499999999967;26.0149999999999;NA;NA
"blasted_case108";205;800;11060;6.82300000000032;1.4970000000003;28.5709999999999;NA
"blasted_case109";241;915;11850;6.39199999999983;3.04899999999998;232.444;NA
"blasted_case110";287;1263;13027;6.67899999999918;1.08200000000033;20.5469999999996;NA
"blasted_case111";306;1358;13399;6.99699999999939;1.15800000000036;NA;NA
"blasted_case112";137;520;9638;3.61899999999969;0.648000000000138;8.80799999999999;NA
"blasted_case113";309;1367;13456;6.83700000000044;1.18599999999969;NA;NA
"blasted_case114";428;1851;15542;16.0430000000006;23.5129999999999;NA;NA
"blasted_case115";428;1851;15542;14.482;32.7479999999996;NA;NA
"blasted_case116";438;1881;15686;17.1319999999996;29.7149999999992;NA;NA
"blasted_case117";309;1367;13456;8.28099999999995;1.33200000000033;NA;NA
"blasted_case118";309;1367;13456;8.47599999999966;1.34799999999996;NA;NA
"blasted_case119";267;787;12560;7.97099999999955;52.616;NA;NA
"blasted_case120";284;851;12867;4.96299999999974;33.3410000000003;NA;NA
"blasted_case121";291;975;12455;5.48899999999958;34.6460000000006;1259.355;NA
"blasted_case122";314;1258;12371;6.01699999999983;4.30299999999988;NA;NA
"blasted_case123";267;980;11783;5.13899999999921;7.04000000000087;NA;NA
"blasted_case124";133;386;9492;1.89100000000144;1.59200000000055;768.973;NA
"blasted_case43";116;421;8911;1.90899999999965;0.498999999999796;5.15099999999984;NA
"blasted_case44";173;651;10535;3.38700000000063;1.20300000000134;14.3079999999991;NA
"blasted_case45";116;421;8911;1.72999999999956;0.509000000000015;5.39500000000044;NA
"blasted_case46";176;660;10612;3.78299999999945;1.37199999999939;15.2890000000007;NA
"blasted_case47";118;328;9006;1.74099999999999;0.391999999999825;27.8260000000009;NA
"blasted_case50";843;3288;21133;21.7759999999998;129.120999999999;NA;NA
"blasted_case51";132;395;9492;2.01299999999901;0.506999999999607;14.9229999999989;NA
"blasted_case52";132;395;9492;1.95700000000033;0.537000000000262;14.3919999999998;NA
"blasted_case53";132;395;9492;1.80699999999888;0.501000000000204;14.366;NA
"blasted_case54";203;725;10864;5.02000000000044;1.05600000000049;68.6770000000015;NA
"blasted_case55";149;442;9948;2.10599999999977;0.519000000000233;54.2549999999992;NA
"blasted_case56";202;722;10864;4.78800000000047;1.32600000000093;72.6699999999983;NA
"blasted_case57";288;1158;12200;5.96900000000096;5.56499999999869;NA;NA
"blasted_case58";96;299;8169;1.72299999999814;0.328000000001339;5.05400000000009;NA
"blasted_case59";93;285;8061;1.64400000000023;0.326999999997497;4.75400000000081;NA
"blasted_case59_1";93;285;8061;1.33699999999953;0.34400000000096;4.82500000000073;NA
"blasted_case60";15;35;4109;4.08099999999831;0.0159999999996217;NA;0.19300000000112
"blasted_case61";282;753;12392;4.77600000000166;390.753999999997;NA;NA
"blasted_case62";291;1165;12265;5.62299999999959;6.17199999999866;1729.354;NA
"blasted_case63";96;299;8169;1.46600000000035;0.304000000000087;4.68400000000111;NA
"blasted_case64";93;285;8061;1.14300000000003;0.307000000000698;4.35699999999997;NA
"blasted_case68";178;553;10689;3.38100000000122;2.55400000000009;24.1229999999996;NA
"blasted_case132";236;708;11983;3.365;0.953000000000003;1034.097;NA
"blasted_case133";211;615;11533;3.75700000000006;6.55400000000009;NA;NA
"blasted_case134";60;146;6936;1.15200000000004;0.407000000000153;7.53400000000011;NA
"blasted_case135";236;708;11983;4.30999999999995;0.902000000000044;1574.321;NA
"blasted_case136";211;615;11533;4.79899999999998;8.11999999999989;NA;NA
"blasted_case137";60;146;6936;1.18299999999999;0.413000000000466;7.94200000000001;NA
"blasted_case144";765;2340;19624;27.3069999999998;221.755999999999;NA;NA
"blasted_case145";219;558;11693;3.89699999999993;90.4629999999997;NA;NA
"blasted_case146";219;558;11693;4.06899999999951;101.306;NA;NA
"blasted_case200";14;42;4002;7.63700000000063;0.0120000000006257;NA;0.132999999999811
"blasted_case201";200;544;11276;4.09600000000137;7.8760000000002;1215.527;NA
"blasted_case202";200;544;11276;3.85499999999956;7.85399999999936;1172.537;NA
"blasted_case203";214;580;11602;4.28499999999985;9.49399999999878;973.784000000001;NA
"blasted_case204";214;580;11602;4.30400000000009;11.2860000000001;993.375;NA
"blasted_case205";214;580;11602;4.2039999999979;10.0070000000014;974.439999999999;NA
"blasted_case206";14;42;4002;7.06999999999971;0.010999999998603;NA;0.132000000000062
"blasted_case207";824;2128;18270;17.0830000000024;432.279999999999;NA;NA
"blasted_case208";824;2128;18270;17.0109999999986;415.889999999999;NA;NA
"blasted_case210";872;2937;19735;21.4619999999995;528.735999999997;NA;NA
"blasted_case211";869;2929;19735;20.4639999999999;530.338;NA;NA
"blasted_case213";648;1891;17071;13.9170000000013;477.470000000001;NA;NA
"blasted_case214";645;1883;17071;13.4199999999983;482.914000000001;NA;NA
"blasted_squaring22";695;2193;19286;18.4809999999998;2.34799999999814;NA;NA
"blasted_squaring26";894;3187;21661;22.7970000000023;12.0240000000013;NA;NA
"blasted_squaring50";500;1965;16733;8.99300000000221;26.0999999999985;NA;NA
"blasted_squaring51";496;1947;16674;10.0629999999983;22.9579999999987;NA;NA
"busybox";613;530;18041;8.85799999999654;11.8340000000026;NA;NA
"DellSPLOT";118;2181;9131;2.45499999999811;0.218000000000757;1257.937;NA
"embtoolkit-onlybool";2331;6437;28866;64.7129999999997;242.429999999997;NA;NA
"fiasco";113;4717;7646;8.42499999999927;0.0750000000007276;NA;NA
"GuidanceService2.sk_2_27";715;2181;17429;14.867000000002;5.69100000000253;NA;NA
"jhipster";45;104;5994;0.598000000001775;0.0300000000024738;2.14199999999983;3445.498
"LargeAutomotive";17365;321897;84522;73.5960000000014;NA;NA;NA
"polynomial.sk_7_25";313;1027;10113;36.7119999999995;0.0279999999984284;NA;NA
"registerlesSwap.sk_3_10";372;1493;11109;9.67700000000332;0.409999999996217;NA;NA
"s27_3_2";20;43;4580;0.894999999996799;0.0169999999998254;0.721000000005006;2.79100000000108
"s27_15_7";32;103;4580;1.102;0.0170000000000003;0.946;2.5
"s27_7_4";24;63;4580;1.193;0.0120000000000005;0.958000000000002;2.45499999999993
"s27_new_15_7";17;43;4309;1.158;0.00799999999999557;1.761;1.25400000000081
"s27_new_3_2";17;31;4309;1.092;0.00800000000000267;1.868;1.26200000000063
"s27_new_7_4";17;35;4309;1.093;0.0120000000000005;1.848;1.27400000000125
"s298_15_7";292;870;13007;4.804;2.58599999999998;18.569;NA
"s298_3_2";205;510;11300;2.64599999999996;0.338000000000022;9.43200000000002;NA
"s298_7_4";223;586;11715;3.79500000000002;0.631000000000029;13.3339999999999;NA
"s344_15_7";284;824;12847;5.16300000000001;1.48099999999999;703.967;NA
"s344_3_2";197;464;11205;4.36300000000006;0.826999999999998;821.587;NA
"s344_7_4";215;540;11533;3.47599999999966;1.50699999999961;1780.48;NA
"s349_15_7";285;829;12847;8.17799999999988;1.50600000000031;791.594;NA
"s349_3_2";198;469;11157;3.47099999999955;0.837999999999738;1097.683;NA
"s349_7_4";216;545;11533;4.13200000000052;1.37599999999929;1399.82;NA
"s382_15_7";350;995;14107;6;1.35299999999916;NA;NA
"s382_3_2";263;635;12476;3.74599999999919;0.539000000000669;290.216999999999;NA
"s382_7_4";281;711;12766;3.95800000000054;0.686999999999898;344.384;NA
"s420_15_7";366;994;14233;5.57300000000032;1.14400000000023;NA;NA
"s420_3_2";294;694;13067;4.07999999999993;0.77100000000064;NA;NA
"s420_7_4";312;770;13341;4.59600000000137;0.990999999999985;NA;NA
"s420_new_15_7";351;934;14126;5.48500000000058;1.32700000000114;NA;NA
"s420_new_3_2";294;694;13283;4.25600000000122;0.822999999998501;1599.806;NA
"s420_new_7_4";312;770;13552;4.71399999999994;1.30999999999949;NA;NA
"s420_new1_15_7";366;994;14233;6.30999999999949;1.22000000000116;NA;NA
"s420_new1_3_2";294;694;13067;4.39600000000064;0.731999999999971;NA;NA
"s420_new1_7_4";312;770;13341;4.86199999999917;0.979999999999563;NA;NA
"s444_15_7";377;1072;14464;7.34900000000016;1.05600000000049;NA;NA
"s444_3_2";290;712;12967;4.09000000000015;0.626000000000204;287.955;NA
"s444_7_4";308;788;13456;4.83599999999933;1.12800000000061;NA;NA
"s510_15_7";340;948;13533;5.85599999999977;0.516999999999825;NA;NA
"s510_3_2";298;768;12907;4.57400000000052;0.453000000001339;772.760999999999;NA
"s510_7_4";316;844;13224;4.91699999999764;0.453999999997905;NA;NA
"s526_15_7";452;1303;15830;7.60699999999997;13.5559999999969;NA;NA
"s526_3_2";365;943;14499;5.26900000000023;2.99399999999878;NA;NA
"s526_7_4";383;1019;14828;5.57300000000032;6.24699999999939;NA;NA
"s526a_15_7";453;1304;15845;10.5149999999994;11.7060000000019;NA;NA
"s526a_3_2";366;944;14534;6.9429999999993;3.67400000000271;NA;NA
"s526a_7_4";384;1020;14845;5.75500000000102;5.45499999999811;NA;NA
"s641_15_7";576;1399;17668;10.101999999999;15.6140000000014;NA;NA
"s641_3_2";489;1039;16296;7.72899999999936;8.96199999999953;NA;NA
"s641_7_4";507;1115;16793;7.75099999999657;14.1719999999987;NA;NA
"s713_3_2";509;1117;16629;9.39700000000084;7.83699999999953;NA;NA
"s713_7_4";527;1193;16852;11.0590000000011;9.3269999999975;NA;NA
"s713_15_7";596;1477;17724;10.1770000000001;12.867;NA;NA
"blasted_case125";393;1555;13870;7.689;20.754;NA;NA
"blasted_case126";302;1129;12413;6.03600000000003;10.452;NA;NA
"blasted_case127";36;104;5707;1.779;0.0279999999999916;1.494;1.887
"blasted_case128";36;104;5707;1.72400000000005;0.0260000000000105;1.32799999999997;1.933
"blasted_case130";644;2056;18418;19.549;48.907;NA;NA
"blasted_case131";432;1830;15606;14.968;15.8979999999999;NA;NA
"blasted_case21";126;411;8345;1.42200000000003;0.307999999999993;4.20699999999999;NA
"blasted_case22";126;411;8345;1.75900000000001;0.307000000000016;4.23099999999999;NA
"blasted_case23";77;235;7487;0.711000000000013;0.125;2.66899999999998;862.07
"blasted_case24";65;190;7155;1.45099999999991;0.0640000000000782;2.07099999999991;40.2440000000006
"blasted_case25";68;195;7282;1.09000000000003;0.0720000000000027;2.3950000000001;151.708
"blasted_case26";53;148;6465;0.492000000000075;0.0600000000000591;1.74099999999999;383.262
"blasted_case27";52;146;6465;0.474999999999909;0.056999999999789;1.59900000000016;376.019
"blasted_case28";51;143;6465;0.475999999999885;0.0549999999998363;1.71199999999999;366.659
"blasted_case29";65;190;7155;1.78199999999993;0.0510000000001583;2.09999999999991;NA
"blasted_case30";68;195;7282;1.27600000000007;0.0620000000001255;2.50099999999998;164.312
"blasted_case31";53;148;6465;0.572999999999865;0.056999999999789;1.59000000000015;384.607
"blasted_case32";52;146;6465;0.483999999999924;0.0589999999999691;1.81700000000001;375.897
"blasted_case33";51;143;6465;0.488000000000056;0.0570000000000164;1.78800000000001;366.824
"blasted_case34";409;1597;14656;8.56500000000005;30.0250000000001;NA;NA
"blasted_case35";400;1414;14621;7.48500000000013;60.731;NA;NA
"blasted_case36";64;208;6980;1.06700000000001;0.0559999999998126;2.173;55.2620000000002
